ID,Aribnb Property ID,Homeaway Property ID,M Homeaway Property ID,Title,Room Type,Property Type,Avg. Daily Rate,Occupancy,Revenue,Total Reviews,Rating,Bedrooms,Bathrooms,Accommodates,Latitude,Longitude,Days Available,Image Cover,Link,Regions
83137,860446,,,Private Room/Bath in Santa Monica,Private room,Condo,104.08125,0.9467456,16653,314,9.1,1,1,2,34.02715,-118.49267,169,https://a0.muscache.com/im/pictures/d73e3370-e96e-4cfe-ad1a-d29bbbef2a6f.jpg?aki_policy=x_large,https://airbnb.com/rooms/860446,26611
83273,3687736,,,Santa Monica Beach Suite 6,Entire home/apt,Room in aparthotel,100.08951,0.5046729,5404.833,226,9.2,1,1,2,34.02682,-118.5192,107,https://a0.muscache.com/im/pictures/d119286d-471d-46fb-bf33-cb6d3073e412.jpg?aki_policy=x_large,https://airbnb.com/rooms/3687736,26610
84230,4549315,,,Entire home and excellent location,Entire home/apt,Home,636.09094,0.6363636,48979,1,8,3,3,5,34.03226,-118.50526,121,https://a0.muscache.com/im/pictures/57847635/b0ece17f_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/4549315,26610
84374,4503307,,,Private Room w/In-Suite Bath in Prime Santa Monica,Private room,Rental unit,92.91302,0.68707484,9384.215,148,9.9,1,1,2,34.03578,-118.49233,147,https://a0.muscache.com/im/pictures/e92accb4-437e-4dbe-9a1c-c9b01084f26e.jpg?aki_policy=x_large,https://airbnb.com/rooms/4503307,26610
84498,4973552,,,Charming English Cottage,Entire home/apt,Home,581.25,0.21768707,18600,1,10,2,2,4,34.03459,-118.49922,147,https://a0.muscache.com/im/pictures/89110998/121726c7_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/4973552,26610
84519,6646526,,718212,Santa Monica Beach Villa,Entire home/apt,Home,1212.5,0.5208333,60625,20,10,4,4,8,34.0412,-118.50338,96,https://a0.muscache.com/im/pictures/256b5bd5-fa6c-4712-9770-7af042d37278.jpg?aki_policy=x_large,https://airbnb.com/rooms/6646526,26610
84564,7618587,,,Lux 2bd/2ba Condo 5 blk from beach with parking!,Entire home/apt,Condo,346.15387,0.22413793,9000,11,9.8,2,2,3,34.02587,-118.50357,116,https://a0.muscache.com/im/pictures/96750362/eb6781d4_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/7618587,26611
85035,1036437,,,Santa Monica Apartment 9,Entire home/apt,Rental unit,88.416664,1,2122,11,8.2,1,1,2,34.02788,-118.49326,24,https://a0.muscache.com/im/pictures/15580918/e232eebd_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1036437,26611
106837,2494793,,,Cozy and Bright Private Room,Private room,Home,84.83435,0.97904193,27740.832,539,9.8,1,2,2,34.02026,-118.47336,334,https://a0.muscache.com/im/pictures/39e9193e-d8aa-43fd-a4dd-d833d379f4a7.jpg?aki_policy=x_large,https://airbnb.com/rooms/2494793,26612
106860,1960842,,,Quintessential Beach Bungalow (1 person limit),Entire home/apt,Guesthouse,216.64062,0.68085104,13865,195,9.9,1,1,1,34.03422,-118.47398,94,https://a0.muscache.com/im/pictures/27110344/186d8f36_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1960842,26612
106959,7399448,,,Boutique Bedroom/Private Bath in MID-SM,Private room,Rental unit,93.85773,0.8367347,23089,450,9.7,1,1,2,34.02724,-118.48191,294,https://a0.muscache.com/im/pictures/44a11d04-9a13-4bcf-9891-d5ae8b36df6e.jpg?aki_policy=x_large,https://airbnb.com/rooms/7399448,26612
106996,1999243,,,Private Room in Santa Monica,Private room,Home,90.481636,0.95859873,27234.973,545,9.7,1,2,2,34.01852,-118.47295,314,https://a0.muscache.com/im/pictures/f319835e-b852-4510-b415-202a88c29af5.jpg?aki_policy=x_large,https://airbnb.com/rooms/1999243,26612
107230,5559447,,,Spacious and Private Bedroom,Private room,Home,96,0.5555556,480,158,9.8,1,2,2,34.01884,-118.47378,9,https://a0.muscache.com/im/pictures/b59f81c9-b3a8-4e8a-99f1-0be494d2b11b.jpg?aki_policy=x_large,https://airbnb.com/rooms/5559447,26612
107563,1689254,,,GUEST BEDROOM W/ PRIVATE BATHROOM,Private room,Rental unit,91.128204,0.8788732,28432,85,9.8,1,1,3,34.04103,-118.4843,355,https://a0.muscache.com/im/pictures/25781688/5e7ca962_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1689254,26610
108408,4212759,,,"Bright, Breezy & Beautiful Townhome - Santa Monica",Entire home/apt,Townhouse,738,0.03846154,738,18,9.9,4,3,8,34.0322,-118.47797,26,https://a0.muscache.com/im/pictures/67939708/dab29b12_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/4212759,26612
108615,4310757,,,Beautiful and Cozy Guesthouse,Entire home/apt,Guesthouse,193.97276,0.6920821,45777.57,134,9.2,1,1,2,34.04122,-118.47676,341,https://a0.muscache.com/im/pictures/7cf13a2d-8de2-4120-8c0d-462998d8d48e.jpg?aki_policy=x_large,https://airbnb.com/rooms/4310757,26611
108698,3007020,,,Cozy Santa Monica home near beach,Entire home/apt,Home,549,0.42857143,3294,1,9.1,3,2,5,34.01396,-118.47518,14,https://a0.muscache.com/im/pictures/38582546/67acca20_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/3007020,26613
123615,2303082,,,Santa Monica Cottage Near Beach,Entire home/apt,Cottage,193.47795,0.8237288,47015.145,305,9.9,1,1,2,34.0185,-118.46624,295,https://a0.muscache.com/im/pictures/miso/Hosting-2303082/original/680683c0-c2a1-46d5-bd7c-542721b249ae.jpeg?aki_policy=x_large,https://airbnb.com/rooms/2303082,26613
123683,868801,,,Santa Monica - Super loft-studio,Entire home/apt,Loft,146.82156,0.91808873,39495,233,9.9,1,1,2,34.01099,-118.47314,293,https://a0.muscache.com/im/pictures/4134cb6a-e218-4f78-bfbb-345c6cb2819b.jpg?aki_policy=x_large,https://airbnb.com/rooms/868801,26613
124306,5978595,,,Santa Monica Architectural 4 BRM,Entire home/apt,Home,462.11453,0.67761195,104900,6,9.7,4,3.5,7,34.02153,-118.45394,335,https://a0.muscache.com/im/pictures/5a5646f2-1c0e-4afb-bb2c-da1534afe820.jpg?aki_policy=x_large,https://airbnb.com/rooms/5978595,26613
125144,1293181,,,Modern Spacious Santa Monica Townhome,Entire home/apt,Rental unit,204.90442,0.964539,27867,22,9.9,2,1.5,4,34.03491,-118.46739,141,https://a0.muscache.com/im/pictures/15c8d165-fedd-4f3e-bc25-7c2e47f518f1.jpg?aki_policy=x_large,https://airbnb.com/rooms/1293181,26612
125246,934139,,,Bedroom in Santa Monica Townhouse,Private room,Townhouse,83.75,1,11055,64,9.9,1,1.5,2,34.02582,-118.46326,132,https://a0.muscache.com/im/pictures/e7683016-9ec7-4dbd-942b-77a43885f64a.jpg?aki_policy=x_large,https://airbnb.com/rooms/934139,26612
154094,4720740,,189874,Stunning Architectural Home by Golf Course,Entire home/apt,Home,562.1057,0.75460124,138278,224,9.7,3,2,7,34.00689,-118.46244,326,https://a0.muscache.com/im/pictures/miso/Hosting-4720740/original/e552b291-9ee8-438c-8c76-060b01774fd1.jpeg?aki_policy=x_large,https://airbnb.com/rooms/4720740,26613
155477,2058290,,,A Uniquely Beautiful Modern Studio,Entire home/apt,Guest suite,143.57642,0.89041096,46662.332,181,9.6,1,1,2,34.0076,-118.46759,365,https://a0.muscache.com/im/pictures/cebd9a9a-fd13-4409-b249-9cb5541748cb.jpg?aki_policy=x_large,https://airbnb.com/rooms/2058290,26613
156425,3494428,,,Garden Haven in Santa Monica,Entire home/apt,Guest suite,193.46667,0.5681818,4836.6665,126,10,1,1,2,34.00733,-118.46982,44,https://a0.muscache.com/im/pictures/80421694/ba02e7c6_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/3494428,26613
156697,6135762,,,CHARMING PRIVATE FLOOR in a TOWNHOUSE,Entire home/apt,Townhouse,229.60396,0.8487395,46380,50,9.5,2,2,3,34.00558,-118.46985,238,https://a0.muscache.com/im/pictures/76471057/c6c3b867_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/6135762,26613
156928,1013877,,,Room at the beach in Santa Monica,Private room,Rental unit,77.98781,0.95348835,6395,119,9.9,1,1,1,34.00135,-118.47714,86,https://a0.muscache.com/im/pictures/535e991b-1aa4-4a5a-be7f-46dfdec8bfd4.jpg?aki_policy=x_large,https://airbnb.com/rooms/1013877,26613
157908,5671969,,,Urban Beach Getaway...,Private room,Rental unit,103.41844,0.8138528,19442.666,23,9.9,1,0,1,34.00302,-118.479,231,https://a0.muscache.com/im/pictures/71316106/5772809f_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/5671969,26613
159656,2846842,,,Ideal Family Home w/ Guest House in Santa Monica!,Entire home/apt,Home,503.4592,0.77165353,49339,20,10,4,2.5,6,34.01098,-118.46492,127,https://a0.muscache.com/im/pictures/79450280/78278ab4_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/2846842,26613
159926,5638620,,,Chic Boho Beach Suite near Farmers Markets & Venice,Entire home/apt,Place,340.51123,0.79899496,54141.29,191,9.7,2,1,4,34.00964,-118.47511,199,"https://a0.muscache.com/4ea/air/v2/pictures/monet/Select-5638620/original/0e4f7ab4-afd0-47ad-8904-6dd98d885f8a?t=r:w2500-h1500-sfit,e:fjpg-c90",https://airbnb.com/rooms/5638620,26613
161704,2345363,,,6 blocks from beach Ocean Park,Private room,Rental unit,52.692307,0.77037036,5480,247,9.7,1,1,1,34.00678,-118.4815,135,https://a0.muscache.com/im/pictures/miso/Hosting-2345363/original/5e4731e9-454f-453a-b44f-7468030e02d3.jpeg?aki_policy=x_large,https://airbnb.com/rooms/2345363,26613
163316,1718567,,,Peaceful Room blocks from Santa Monica beach,Private room,Rental unit,92.43364,0.80898875,13310.444,41,9.8,1,1,1,34.00855,-118.47774,178,https://a0.muscache.com/im/pictures/61469295/ce36e9cf_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1718567,26613
163401,1677768,,,Charming Room & private bath minutes from Beach.,Private room,Home,135.24573,0.80273974,39627,139,9.8,1,1,4,34.00897,-118.48129,365,https://a0.muscache.com/im/pictures/d8b1f719-1634-4922-b5a6-52951d14b757.jpg?aki_policy=x_large,https://airbnb.com/rooms/1677768,26613
164004,3372289,,,New listing discount Venice/SM beach house,Entire home/apt,Home,416.22046,0.8850174,105720,12,9.8,3,1.5,5,34.00114,-118.48225,287,https://a0.muscache.com/im/pictures/miso/Hosting-3372289/original/29612f85-4609-4a2a-9618-bbb3a4ece009.jpeg?aki_policy=x_large,https://airbnb.com/rooms/3372289,26613
164802,4342354,,,Sunny Stylish Mid Century Bungalow & Big Backyard,Entire home/apt,Bungalow,335.31616,0.87741935,91206,149,9.7,2,1,6,34.0041,-118.4722,310,https://a0.muscache.com/im/pictures/56233237/d7cbfe1b_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/4342354,26613
164970,951515,,,Townhouse at the Beach,Entire home/apt,Home,297.92682,0.87982833,61075,32,9.2,2,2,3,34.00317,-118.47928,233,https://a0.muscache.com/im/pictures/14148655/edf8dad9_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/951515,26613
165107,2732,,,Zen Life at the Beach,Private room,Rental unit,183.76108,0.71747214,35465.89,23,9,1,1,1,34.0044,-118.48095,269,https://a0.muscache.com/im/pictures/1082974/0f74c9d1_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/2732,26613
165704,4205458,,,artist''s home in Santa Monica,Entire home/apt,Home,453.75,0.22222222,9075,0,,4,3.5,8,34.01225,-118.4653,90,https://a0.muscache.com/im/pictures/3b75dee4-85cc-4b5e-82e6-8e535ba3f99b.jpg?aki_policy=x_large,https://airbnb.com/rooms/4205458,26613
440877,1965557,,,The Cottage Santa Monica,Entire home/apt,Villa,2306.697,0.34196892,152242,18,9.9,4,4,8,34.00501,-118.48742,193,https://a0.muscache.com/im/pictures/87529775/f0f93e9a_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1965557,26613
455619,7801269,,,Santa Monica New One BedRoom Apt.(Ocean Breeze C),Entire home/apt,Rental unit,134.09091,0.8684211,4425,17,9.8,1,1,4,34.02628,-118.47938,38,https://a0.muscache.com/im/pictures/miso/Hosting-7801269/original/eba9a383-5128-483d-9bee-957b6535acb9.jpeg?aki_policy=x_large,https://airbnb.com/rooms/7801269,26612
456651,1312034,,,"Private guesthouse with patio, pet friendly",Entire home/apt,Rental unit,109.44791,0.734127,20247.861,38,9.1,1,1,2,34.03654,-118.47378,252,https://a0.muscache.com/im/pictures/19778043/7c5201ec_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1312034,26612
456867,681142,,,SANTA MONICA Beautiful 3 Story Town Home,Entire home/apt,Home,438.63635,0.12643678,4825,18,9.3,2,3,4,34.02809,-118.48321,87,https://a0.muscache.com/im/pictures/miso/Hosting-681142/original/02cb9903-a6cc-48dd-8db6-4a1aa98ecf86.jpeg?aki_policy=x_large,https://airbnb.com/rooms/681142,26612
482708,394904,,,REDUCED LUXURY MODERN GETTY 1 HOUSE walk to Beach!,Entire home/apt,Home,541.2162,0.42045453,20025,47,9.8,1,1,3,34.00351,-118.478,88,https://a0.muscache.com/im/pictures/4430485/e1838c87_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/394904,26613
607789,7985891,,,Cozy Room Near the Ocean & SM Pier,Private room,Rental unit,565,0.04918033,1695,267,9.7,1,1,2,34.01081,-118.48594,61,https://a0.muscache.com/im/pictures/105571190/5eee4f29_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/7985891,26325
683103,1257025,,,Beach side heart of santa monica/P,Private room,Rental unit,105.22424,0.92957747,34724,695,9.2,1,1,1,34.02251,-118.50066,355,https://a0.muscache.com/im/pictures/20437296/a652695d_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1257025,26611
953936,8090406,,,SPACIOUS BEDROOM IN PRIVATE SUITE WALK 2 BEACH,Private room,Condo,127.15273,0.9942693,44122,486,9.7,1,1,2,34.01939,-118.50003,349,https://a0.muscache.com/im/pictures/miso/Hosting-8090406/original/8302928a-d22c-4edf-9ffd-3fcae5815cba.jpeg?aki_policy=x_large,https://airbnb.com/rooms/8090406,26611
960666,1750808,,,Clean Oasis/Private Pool/COUPLE OR SINGLE FAM ONLY,Entire home/apt,Home,800.8467,0.8165939,149758.33,71,9.9,3,2,6,34.0395,-118.48144,229,https://a0.muscache.com/im/pictures/miso/Hosting-1750808/original/d75a93cb-b12f-471c-a1b2-82cceda7313d.jpeg?aki_policy=x_large,https://airbnb.com/rooms/1750808,26611
967017,3583498,,608914,Entire Suite: super clean! Walk to the beach.,Entire home/apt,Guest suite,210.89272,0.9031142,55043,297,9.8,1,1,2,34.00798,-118.47978,289,https://a0.muscache.com/im/pictures/c0e53c5d-8c86-4d06-a249-8e13da6b9baf.jpg?aki_policy=x_large,https://airbnb.com/rooms/3583498,26613
985049,2670786,,,Private Bed in Santa Monica’s Best Neighborhood,Private room,Rental unit,54.892307,0.65,3568,29,9,1,1,1,34.03521,-118.46863,100,https://a0.muscache.com/im/pictures/miso/Hosting-2670786/original/c083c67a-e8a4-41af-a3b4-3fcc507bb21c.png?aki_policy=x_large,https://airbnb.com/rooms/2670786,26612
985056,1378519,,,Private Bed & Bath Santa Monica Artist’s Bedroom,Private room,Rental unit,66.701035,0.6736111,6470,31,9.1,1,1,1,34.03359,-118.46913,144,https://a0.muscache.com/im/pictures/03629afb-742e-4a8a-a1ad-0050dce4c11d.jpg?aki_policy=x_large,https://airbnb.com/rooms/1378519,26612
1003927,8090216,,,Private Room - Just a few blocks from the Beach,Private room,Condo,78.117836,0.9516129,4608.952,291,9.5,1,1,1,34.02004,-118.49988,62,https://a0.muscache.com/im/pictures/miso/Hosting-8090216/original/81936b9a-7384-41f9-92b7-1e07353801f3.jpeg?aki_policy=x_large,https://airbnb.com/rooms/8090216,26611
1036186,562255,,341265ha,Santa Monica Garden Hide-Away,Entire home/apt,Rental unit,135,0.8181818,6075,60,10,0,1,2,34.033260345459,-118.491424560547,55,https://a0.muscache.com/im/pictures/6912450/eb09cacf_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/562255,26611
1037709,8355795,,,Santa Monica One BedRoom Apt. (Occean Breeze 2),Entire home/apt,Rental unit,138.5121,0.90909094,5540.484,37,9.6,1,1,4,34.01922,-118.47334,44,https://a0.muscache.com/im/pictures/miso/Hosting-8355795/original/46db9168-bba1-4bcc-96bf-d26f495708b6.jpeg?aki_policy=x_large,https://airbnb.com/rooms/8355795,26612
1038736,8343513,,,Private En Suite in Zen designed specious house,Private room,Home,105.734375,0.32258064,1057.3438,0,,1,1,1,34.0351,-118.46382,31,https://a0.muscache.com/im/pictures/miso/Hosting-8343513/original/d969375c-a114-4c37-b2b7-532635502628.jpeg?aki_policy=x_large,https://airbnb.com/rooms/8343513,26612
1112420,4424041,,,Master bedroom with attached bathroom,Private room,Rental unit,86.015976,0.9178886,26923,304,9.4,1,1,2,34.0343,-118.47427,341,https://a0.muscache.com/im/pictures/65185603/8e12b785_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/4424041,26612
1178541,4411525,,,Fantastic Santa Monica Beach,Entire home/apt,Condo,231.2857,0.7480916,22666,93,9.8,1,1,4,34.0073,-118.48551,131,https://a0.muscache.com/im/pictures/miso/Hosting-4411525/original/160c6732-2997-41fc-a3ad-0580304f3f45.jpeg?aki_policy=x_large,https://airbnb.com/rooms/4411525,26613
1186035,3751110,,,Charming 1 Bed Santa Monica Cottage,Entire home/apt,Home,181.09523,0.84,3803,25,9.8,1,1,4,34.04204,-118.47223,25,https://a0.muscache.com/im/pictures/miso/Hosting-3751110/original/4d06cdc1-dac3-47be-9841-6307e5be7146.jpeg?aki_policy=x_large,https://airbnb.com/rooms/3751110,26611
1193668,331450,,,1926 Santa Monica Mediterranean,Entire home/apt,Home,1350,0.06451613,2700,1,10,5,4.5,6,34.03676,-118.49616,31,https://a0.muscache.com/im/pictures/3612160/03826100_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/331450,26610
1193673,3540852,,,"Art filled Modern, near Montana, North SM - 2 Bdrm",Entire home/apt,Condo,248.10345,0.30851063,7195,19,10,2,1,4,34.03152,-118.48947,94,https://a0.muscache.com/im/pictures/9c87aa61-0907-42e3-837e-1609f0eed952.jpg?aki_policy=x_large,https://airbnb.com/rooms/3540852,26611
1226988,420167,,,Beautiful VIEW - Rent 1 BR in Modern 2 BR,Private room,Rental unit,80.5002,0.9273927,22620.555,3,7,1,1.5,1,34.00441,-118.47314,303,https://a0.muscache.com/im/pictures/1636d6da-cd8b-4593-b54c-8bc6e286148c.jpg?aki_policy=x_large,https://airbnb.com/rooms/420167,26613
1226996,2021231,,211757ha,Chic Tranquility at a Loft-style House; Walk to Santa Monica Beach,Entire home/apt,Guesthouse,387.88928,0.8919753,112100,286,9.9,2,1,4,34.01173,-118.47753,324,"https://a0.muscache.com/4ea/air/v2/pictures/09a3128d-0684-4aeb-885d-97502bff116e.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",https://airbnb.com/rooms/2021231,26613
1227134,2107420,,,"Amazing Sunsets, Pier and Beach",Entire home/apt,Rental unit,99,0.82608694,5643,16,9,0,1,2,34.00959,-118.49415,69,https://a0.muscache.com/im/pictures/abcba874-31ad-4745-b1e9-8cf4fa9466f4.jpg?aki_policy=x_large,https://airbnb.com/rooms/2107420,26325
1227145,1817216,,,Beach and Pier Amazing Water Views,Entire home/apt,Rental unit,105,0.88709676,11550,8,7,0,1,2,34.00959,-118.49415,124,https://a0.muscache.com/im/pictures/25802731/7d006ef0_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1817216,26325
1227147,5615299,,,"Views, Air, Water Across from Pier",Entire home/apt,Rental unit,113,0.8,9944,3,8,0,1,2,34.00959,-118.49415,110,https://a0.muscache.com/im/pictures/69902401/7a1215bf_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/5615299,26325
1227149,3362970,,,Bright Studio Near Beach & 3rd Street,Entire home/apt,Rental unit,138.78723,0.6573427,13046,58,9.3,1,1,2,34.02453,-118.49437,143,https://a0.muscache.com/im/pictures/99586a3b-b98c-491b-a3f3-17f391a12dd4.jpg?aki_policy=x_large,https://airbnb.com/rooms/3362970,26611
1227150,1566339,,,SANTA MONICA BEACH AND PIER STUDIO,Entire home/apt,Rental unit,110,0.4876033,6490,13,8.9,1,1,2,34.00952,-118.49413,121,https://a0.muscache.com/im/pictures/91d22b69-de6e-414a-86fe-39285e92dc56.jpg?aki_policy=x_large,https://airbnb.com/rooms/1566339,26325
1227154,2783360,,,"Direct White Water, Sand and Pier",Entire home/apt,Rental unit,130,0.80851066,4940,10,10,0,1,2,34.00959,-118.49415,47,https://a0.muscache.com/im/pictures/87666eac-a0a6-4445-a7a0-28bded7b61d8.jpg?aki_policy=x_large,https://airbnb.com/rooms/2783360,26325
1227160,2391521,,,"Fun, Sun and Amazing Location",Entire home/apt,Rental unit,70.47059,0.5151515,2396,15,9.1,0,1,2,34.00959,-118.49415,66,https://a0.muscache.com/im/pictures/31821632/6d06776e_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/2391521,26325
1227162,1864572,,,Water Pier Views Boutique Studio,Entire home/apt,Rental unit,130,0.8333333,6500,6,9.2,0,1,2,34.00959,-118.49415,60,https://a0.muscache.com/im/pictures/aaf41c2f-a462-4864-9ebe-a78cfe27b23d.jpg?aki_policy=x_large,https://airbnb.com/rooms/1864572,26325
